,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
178,BC,39,S,control,f,-2.0,0.0,5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,-7.069000000000001,13.098000000000013
179,BC,41,F,control,f,0.0,-7.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,14.852999999999998,77.609
180,BC,43,S,control,f,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2620000000000005,-1.563999999999993
181,BC,45,F,control,f,-15.0,0.0,7.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,15.774,-0.48200000000001353
182,B,47,S,treatment,f,-17.0,1.0,2.0,-4.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.102,-43.428
183,B,49,S,treatment,f,-13.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142,4.14200000000001
184,B,51,S,treatment,f,-10.0,-4.0,0.0,-3.0,-4.0,-1.0,0.0,0.0,0.0,0.0,43.524,83.06700000000001
185,B,53,S,treatment,f,6.0,-9.0,1.0,3.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.6969999999999998,71.23400000000001
186,BC,55,S,control,f,12.0,-1.0,0.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,12.999,111.23599999999999
187,BC,57,F,control,f,11.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.428,3.722999999999999
188,BC,59,S,control,f,13.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053,0.4329999999999927
189,BC,61,F,control,f,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.698,53.568
190,B,63,S,treatment,f,-12.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.6450000000000005,65.501
191,B,65,S,treatment,f,-3.0,-5.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.582,83.542
192,BC,67,S,control,f,3.0,1.0,0.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,5.383,-42.993
193,BC,69,F,control,f,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.604,90.601
194,B,71,F,treatment,f,-4.0,-3.0,0.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.8820000000000006,76.924
195,B,73,F,treatment,f,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-52.733,70.926
196,B,75,S,treatment,f,-2.0,0.0,0.0,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.9820000000000011,111.40299999999999
197,B,77,S,treatment,f,-12.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-23.011000000000003,-11.378000000000029
198,BC,79,S,control,f,1.0,-2.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-8.67,15.927999999999997
199,BC,1,S,control,m,16.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.132,102.243
200,BC,3,F,control,m,7.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.521,0.1700000000000017
201,B,5,F,treatment,m,10.0,0.0,-1.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,-7.352,-7.352000000000004
202,B,7,F,treatment,m,-28.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,56.827999999999996,-0.6140000000000043
203,BC,9,S,control,m,-16.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.6140000000000008,-23.362000000000002
204,BC,13,S,control,m,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.266,69.64099999999999
205,BC,15,F,control,m,-20.0,0.0,-4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,45.47,-0.13100000000000023
206,B,17,F,treatment,m,10.0,0.0,-15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3250000000000002,-1.3250000000000028
207,B,19,F,treatment,m,-16.0,-1.0,-1.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,59.981,116.31400000000001
208,B,21,S,treatment,m,6.0,-2.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-0.8809999999999998,38.89
209,B,23,S,treatment,m,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.749999999999999,2.9279999999999973
210,BC,25,S,control,m,-10.0,-13.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,142.78900000000002,191.065
211,BC,27,F,control,m,-27.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5780000000000003,-5.440999999999988
212,BC,29,F,control,m,-25.0,0.0,-2.0,-2.0,2.0,-1.0,0.0,0.0,0.0,0.0,2.2220000000000004,-39.45099999999999
213,B,31,S,treatment,m,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.854,31.111000000000004
214,B,33,S,treatment,m,26.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2659999999999998,-30.884
215,B,35,S,treatment,m,-9.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.558,-0.5020000000000095
216,B,37,S,treatment,m,21.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5030000000000006,1.5030000000000143
217,BC,39,S,control,m,13.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,3.537,49.458
218,BC,41,F,control,m,18.0,-8.0,6.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.9910000000000001,110.709
219,BC,43,S,control,m,-13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130000000000002,-1.563999999999993
220,BC,45,F,control,m,-10.0,0.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.48199999999999976,-0.48200000000001353
221,B,47,S,treatment,m,6.0,0.0,4.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3230000000000004,3.102000000000004
222,B,49,S,treatment,m,-6.0,0.0,-11.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.899000000000001,4.14200000000001
223,B,51,S,treatment,m,-4.0,-16.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,5.707,117.453
224,B,53,S,treatment,m,18.0,-17.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-5.2330000000000005,97.789
225,BC,55,S,control,m,36.0,-11.0,3.0,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0,6.114999999999998,116.50299999999999
226,BC,57,F,control,m,-1.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.126,3.722999999999999
227,BC,59,S,control,m,5.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.43299999999999994,62.778999999999996
228,BC,61,F,control,m,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.30199999999999,-23.828999999999994
229,B,63,S,treatment,m,-7.0,1.0,0.0,1.0,-3.0,0.0,0.0,-2.0,0.0,0.0,-8.294,10.075999999999997
230,B,65,S,treatment,m,-8.0,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,62.274,80.255
231,BC,67,S,control,m,1.0,4.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,6.894,-76.459
232,BC,69,F,control,m,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.601,90.601
233,B,71,F,treatment,m,-32.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.641,0.8819999999999908
234,B,73,F,treatment,m,-6.0,-1.0,12.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-14.634,73.57
235,B,75,S,treatment,m,12.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.230999999999998,13.25699999999999
236,B,77,S,treatment,m,-27.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-28.916,107.93099999999998
237,BC,79,S,control,m,10.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.472999999999999,-7.927
238,BC,2,F,control,nf,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2360000000000002,0.6780000000000115
239,BC,4,S,control,nf,-4.0,0.0,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.516,0.1700000000000017
240,B,6,S,treatment,nf,-1.0,0.0,-4.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,25.505000000000003,-0.14700000000000557
241,B,8,S,treatment,nf,0.0,-1.0,-3.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0559999999999974,68.43799999999999
