,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
142,AD,46,S,control,nm,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,7.699999999999989,7.699999999999989
143,AD,48,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2650000000000006,-1.2650000000000006
144,AD,50,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.591000000000008,3.591000000000008
145,AD,52,F,treatment,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.638999999999996,-30.638999999999996
146,AD,54,F,treatment,nm,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.3299999999999983,98.993
147,AD,56,F,control,nm,0.0,-16.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999818,40.585
148,AD,58,S,control,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915000000000006,8.915000000000006
149,AD,60,F,control,nm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247,4.247
150,AD,62,S,control,nm,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.044,5.5319999999999965
151,AD,64,F,treatment,nm,0.0,-5.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,7.160999999999987,74.88199999999999
152,AD,66,F,treatment,nm,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.467000000000013,82.371
153,AD,68,F,control,nm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.149000000000001,1.149000000000001
154,AD,70,S,control,nm,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.158999999999992,55.06
155,AD,72,S,treatment,nm,0.0,19.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.963999999999999,-25.180000000000003
156,AD,74,S,treatment,nm,0.0,-3.0,2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.346999999999994,93.131
157,AD,76,F,treatment,nm,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,121.835,-15.580999999999989
158,AD,78,F,treatment,nm,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.737,3.7369999999999948
159,AD,80,F,control,nm,0.0,-7.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-111.127,102.44500000000001
160,BC,1,S,control,f,18.0,0.0,-2.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,-12.233,0.6779999999999973
161,BC,3,F,control,f,18.0,0.0,-1.0,3.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.16999999999999998,0.1700000000000017
162,BC,5,F,treatment,f,25.0,0.0,-15.0,2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-24.711,16.87599999999999
163,BC,7,F,treatment,f,-5.0,0.0,-8.0,2.0,-1.0,-4.0,-1.0,0.0,0.0,0.0,-3.509,8.620999999999995
164,BC,9,S,control,f,5.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.952999999999999,9.521
165,BC,13,S,control,f,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.391,-7.347999999999999
166,BC,15,F,control,f,-31.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,45.997,-0.13100000000000023
167,BC,17,F,treatment,f,-31.0,0.0,-4.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,85.446,1.5879999999999939
168,BC,19,F,treatment,f,-4.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,44.254,76.25600000000001
169,BC,21,S,treatment,f,-8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5440000000000005,-68.23300000000002
170,BC,23,S,treatment,f,-17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.485,2.692999999999998
171,BC,25,S,control,f,-16.0,-3.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,145.6,168.526
172,BC,27,F,control,f,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.929,-5.4410000000000025
173,BC,29,F,control,f,-6.0,0.0,1.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,99.904,2.221999999999994
174,BC,31,S,treatment,f,-11.0,0.0,-2.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,55.673,30.02300000000001
175,BC,33,S,treatment,f,-12.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3949999999999996,-27.320999999999998
176,BC,35,S,treatment,f,-6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.366,-1.3659999999999997
177,BC,37,S,treatment,f,-20.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0
178,BC,39,S,control,f,-2.0,0.0,5.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,-7.069000000000001,13.098000000000013
179,BC,41,F,control,f,0.0,-7.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,14.852999999999998,77.609
180,BC,43,S,control,f,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2620000000000005,-1.5640000000000072
181,BC,45,F,control,f,-15.0,0.0,7.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,15.774,-0.4819999999999993
182,BC,47,S,treatment,f,5.0,1.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47299999999999986,-46.057
183,BC,49,S,treatment,f,-20.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.553000000000001,22.287000000000006
184,BC,51,S,treatment,f,-2.0,-1.0,-4.0,-4.0,0.0,-1.0,0.0,0.0,0.0,0.0,-11.211999999999996,73.52600000000001
185,BC,53,S,treatment,f,17.0,0.0,-2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,-139.513,-19.51299999999999
186,BC,55,S,control,f,12.0,-1.0,0.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,12.999,111.23599999999999
187,BC,57,F,control,f,11.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.428,3.722999999999999
188,BC,59,S,control,f,13.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053,0.43300000000000693
189,BC,61,F,control,f,-1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.698,53.568
190,BC,63,S,treatment,f,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-31.659,-16.849000000000004
191,BC,65,S,treatment,f,2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.798,63.455000000000005
192,BC,67,S,control,f,3.0,1.0,0.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,5.383,-42.993
