status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
S,control,56,female,-47.0,0.0,-13.0,0.0,45.0,32.0,1.0,0.0,0.0,0.0,-11.509,2.0,0.0,5.233999999999995,12.542
S,control,56,male,-62.0,0.0,-3.0,-1.0,44.0,39.0,0.0,0.0,0.0,0.0,-11.509,-3.0,0.0,5.233999999999995,5.234
S,control,57,female,12.0,-13.0,-3.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.003,1.0,0.0,3.242999999999995,3.243
S,control,57,male,8.0,-2.0,2.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,-12.653,0.0,0.0,3.242999999999995,4.69
S,control,60,female,-12.0,0.0,3.0,0.0,-8.0,3.0,-1.0,0.0,0.0,0.0,-14.059,-2.0,0.0,4.588000000000008,41.528999999999996
S,control,60,male,5.0,1.0,-5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-5.57,0.0,0.0,-20.24499999999999,22.011000000000003
S,control,61,female,-16.0,0.0,-5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-38.273,-3.0,0.0,18.704000000000008,114.789
S,control,61,male,-11.0,-2.0,0.0,-1.0,-2.0,2.0,0.0,0.0,0.0,0.0,-3.471,-2.0,0.0,18.704000000000008,55.022999999999996
S,control,68,female,1.0,-1.0,3.0,0.0,-40.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6370000000000005,-38.379
S,control,68,male,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6370000000000005,-3.6370000000000005
S,control,69,female,0.0,0.0,0.0,0.0,14.0,18.0,0.0,0.0,0.0,0.0,-237.48,0.0,0.0,34.30300000000001,34.303
S,control,69,male,6.0,0.0,0.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,-15.438,0.0,0.0,106.77900000000001,106.779
S,control,80,female,-30.0,5.0,-2.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,-3.254,0.0,0.0,-96.664,14.056
S,control,80,male,14.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-2.153,-6.0,0.0,6.2890000000000015,6.289
S,treatment,6,female,-37.0,0.0,-9.0,-2.0,-5.0,-1.0,0.0,0.0,0.0,0.0,-60.029,-2.0,0.0,-120.004,-0.004
S,treatment,6,male,-35.0,0.0,-16.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-60.029,-1.0,0.0,-120.004,-0.004
S,treatment,8,female,-3.0,-1.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.769000000000005,17.623999999999995
S,treatment,8,male,-5.0,0.0,-3.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.769000000000005,13.855000000000004
S,treatment,18,female,-16.0,-1.0,-7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-17.628,0.0,0.0,51.736000000000004,51.736000000000004
S,treatment,18,male,-1.0,0.0,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.736000000000004,-41.002
S,treatment,20,female,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.070999999999998,122.359
S,treatment,20,male,26.0,-1.0,-5.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-34.511,0.0,0.0,6.070999999999998,126.071
S,treatment,21,female,17.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-52.424,0.0,0.0,1.1659999999999968,1.166
S,treatment,21,male,19.0,0.0,2.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1659999999999968,-62.932
S,treatment,23,female,-4.0,-2.0,-18.0,-2.0,-1.0,5.0,-1.0,0.0,0.0,0.0,-24.54,0.0,0.0,103.452,25.605
S,treatment,23,male,-8.0,-5.0,-11.0,-2.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.219,0.0,0.0,4.327999999999999,52.681999999999995
S,treatment,31,female,-3.0,-6.0,-3.0,-2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.007999999999996,3.840999999999994
S,treatment,31,male,-9.0,0.0,-5.0,-1.0,5.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,20.933000000000007,63.248000000000005
S,treatment,33,female,-104.0,2.0,-5.0,-1.0,8.0,10.0,-1.0,0.0,0.0,0.0,-34.453,-2.0,0.0,3.2789999999999964,11.367
S,treatment,33,male,-48.0,0.0,-8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-29.913,-4.0,-1.0,3.2789999999999964,3.2880000000000003
S,treatment,35,female,4.0,-1.0,-4.0,0.0,-5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.566,12.474999999999998
S,treatment,35,male,14.0,0.0,0.0,1.0,-3.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-51.656,-49.352000000000004
S,treatment,37,female,-14.0,0.0,-6.0,0.0,-12.0,-37.0,0.0,0.0,0.0,0.0,-20.151,0.0,0.0,3.8800000000000097,24.197
S,treatment,37,male,-22.0,1.0,1.0,0.0,-4.0,-3.0,0.0,0.0,0.0,0.0,-9.563,0.0,0.0,3.8800000000000097,8.981000000000002
S,treatment,47,female,20.0,0.0,-4.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,-42.09,-4.0,0.0,9.182999999999993,19.871
S,treatment,47,male,16.0,0.0,-1.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,-39.292,-5.0,0.0,9.182999999999993,19.180999999999997
S,treatment,49,female,-38.0,1.0,-1.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,-39.569,-8.0,0.0,-46.013000000000005,34.669
S,treatment,49,male,-36.0,0.0,-17.0,-1.0,10.0,-1.0,0.0,0.0,0.0,0.0,-42.11,-1.0,0.0,3.2900000000000063,11.478
S,treatment,51,female,-36.0,3.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-63.642,-11.0,0.0,-4.114000000000004,44.272
S,treatment,51,male,-47.0,0.0,-12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-60.817,-26.0,0.0,-45.087,44.845
S,treatment,53,female,47.0,-5.0,-1.0,-1.0,-3.0,1.0,-1.0,0.0,0.0,0.0,-32.54,0.0,0.0,3.754000000000005,3.147
S,treatment,53,male,33.0,-1.0,-2.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-45.058,5.0,0.0,1.2420000000000044,1.242
